full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,70725,70725,11516,72,72,10,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,9527,9527,14698,6,6,3,https://github.com/ChinaSiro/claude-code-sourcemap
Alishahryar1/free-claude-code,39729,39729,6486,139,139,27,https://github.com/Alishahryar1/free-claude-code
pengchengneo/Claude-Code,1634,1634,2531,5,5,2,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,49838,49838,4349,53,53,15,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,62461,62461,6248,29,29,4,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,35744,35744,2948,7,7,4,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,29146,29146,3197,293,293,27,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,914,914,1218,1,1,2,https://github.com/LING71671/Open-ClaudeCode
Donchitos/Claude-Code-Game-Studios,22889,22889,3287,52,52,5,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,23217,23217,2711,40,40,5,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3249,3249,3825,0,0,-1,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2315,2315,3534,0,0,0,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,8329,8329,1962,4,4,2,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,11767,11767,2002,17,17,2,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,3516,3516,1946,5,5,1,https://github.com/liuup/claude-code-analysis
diet103/claude-code-infrastructure-showcase,9733,9733,1214,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
pedrohcgs/claude-code-my-workflow,1398,1398,2748,3,3,5,https://github.com/pedrohcgs/claude-code-my-workflow
frankbria/ralph-claude-code,9529,9529,728,5,5,2,https://github.com/frankbria/ralph-claude-code
ykdojo/claude-code-tips,9202,9202,720,28,28,6,https://github.com/ykdojo/claude-code-tips
chauncygu/collection-claude-code-source-code,2751,2751,2429,1,1,1,https://github.com/chauncygu/collection-claude-code-source-code
hangsman/claude-code-source,787,787,1759,0,0,0,https://github.com/hangsman/claude-code-source
lintsinghua/claude-code-book,3905,3905,792,1,1,-1,https://github.com/lintsinghua/claude-code-book
ChrisWiles/claude-code-showcase,5990,5990,560,3,3,-1,https://github.com/ChrisWiles/claude-code-showcase
wanshuiyin/Auto-claude-code-research-in-sleep,13297,13297,1202,35,35,9,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
huangserva/claude-code-cli,618,618,1309,0,0,-1,https://github.com/huangserva/claude-code-cli
