full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,71601,71601,11633,148,148,12,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,9559,9559,14687,4,4,-4,https://github.com/ChinaSiro/claude-code-sourcemap
Alishahryar1/free-claude-code,41062,41062,6666,269,269,54,https://github.com/Alishahryar1/free-claude-code
pengchengneo/Claude-Code,1676,1676,2547,1,1,0,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,50458,50458,4392,94,94,7,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,63134,63134,6309,66,66,5,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,35938,35938,2978,39,39,9,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,29749,29749,3171,38,38,8,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,923,923,1220,3,3,0,https://github.com/LING71671/Open-ClaudeCode
Donchitos/Claude-Code-Game-Studios,23225,23225,3329,45,45,10,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,23522,23522,2744,36,36,4,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3262,3262,3823,2,2,-1,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2321,2321,3542,-1,-1,0,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,8397,8397,1985,7,7,2,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,11917,11917,2014,15,15,1,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,3588,3588,1980,12,12,2,https://github.com/liuup/claude-code-analysis
diet103/claude-code-infrastructure-showcase,9916,9916,1225,135,135,9,https://github.com/diet103/claude-code-infrastructure-showcase
pedrohcgs/claude-code-my-workflow,1413,1413,2801,2,2,0,https://github.com/pedrohcgs/claude-code-my-workflow
frankbria/ralph-claude-code,9555,9555,729,5,5,0,https://github.com/frankbria/ralph-claude-code
ykdojo/claude-code-tips,9360,9360,741,10,10,1,https://github.com/ykdojo/claude-code-tips
hangsman/claude-code-source,788,788,1758,0,0,0,https://github.com/hangsman/claude-code-source
chauncygu/collection-claude-code-source-code,2761,2761,2436,1,1,1,https://github.com/chauncygu/collection-claude-code-source-code
lintsinghua/claude-code-book,3966,3966,799,5,5,1,https://github.com/lintsinghua/claude-code-book
ChrisWiles/claude-code-showcase,5994,5994,563,-1,-1,0,https://github.com/ChrisWiles/claude-code-showcase
wanshuiyin/Auto-claude-code-research-in-sleep,13606,13606,1223,39,39,3,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
huangserva/claude-code-cli,622,622,1307,1,1,0,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3883,3883,564,-1,-1,0,https://github.com/OneRedOak/claude-code-workflows
FlorianBruniaux/claude-code-ultimate-guide,5503,5503,725,8,8,1,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
nicedreamzapp/claude-code-local,2960,2960,566,3,3,1,https://github.com/nicedreamzapp/claude-code-local
zebbern/claude-code-guide,4420,4420,451,3,3,1,https://github.com/zebbern/claude-code-guide
1rgs/claude-code-proxy,3698,3698,480,2,2,0,https://github.com/1rgs/claude-code-proxy
anthropics/claude-code-security-review,5586,5586,599,7,7,1,https://github.com/anthropics/claude-code-security-review
affaan-m/ECC,231349,231349,35301,346,346,57,https://github.com/affaan-m/ECC
rohitg00/awesome-claude-code-toolkit,2352,2352,823,4,4,3,https://github.com/rohitg00/awesome-claude-code-toolkit
lorryjovens-hub/claude-code-rust,1665,1665,636,-2,-2,0,https://github.com/lorryjovens-hub/claude-code-rust
alejandrobalderas/claude-code-from-source,2728,2728,742,2,2,-1,https://github.com/alejandrobalderas/claude-code-from-source
Maciek-roboblog/Claude-Code-Usage-Monitor,8482,8482,437,8,8,2,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
disler/claude-code-hooks-mastery,3836,3836,629,1,1,0,https://github.com/disler/claude-code-hooks-mastery
zstmfhy/Claude-code,190,190,284,0,0,0,https://github.com/zstmfhy/Claude-code
